"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 09, 2010","1,280.63","1,295.75","1,298.88","1,278.63","-","-1.00%"
"Dec 08, 2010","1,293.63","1,282.88","1,296.63","1,266.63","-","0.57%"
"Dec 07, 2010","1,286.25","1,288.75","1,303.13","1,282.38","-","0.00%"
"Dec 06, 2010","1,286.25","1,303.63","1,306.63","1,280.38","-","-1.12%"
"Dec 03, 2010","1,300.88","1,282.75","1,301.38","1,280.25","-","1.74%"
"Dec 02, 2010","1,278.63","1,281.88","1,286.75","1,273.88","-","-0.25%"
"Dec 01, 2010","1,281.88","1,243.38","1,283.88","1,240.38","-","2.89%"
"Nov 30, 2010","1,245.88","1,238.75","1,247.13","1,227.88","-","0.81%"
"Nov 29, 2010","1,235.88","1,239.88","1,248.25","1,226.63","-","-0.28%"
"Nov 26, 2010","1,239.38","1,256.63","1,262.13","1,235.88","-","-1.20%"
"Nov 24, 2010","1,254.38","1,241.38","1,258.13","1,237.13","-","1.31%"
"Nov 23, 2010","1,238.13","1,225.38","1,246.00","1,201.63","-","1.39%"
"Nov 22, 2010","1,221.13","1,196.63","1,222.88","1,190.63","-","1.67%"
"Nov 19, 2010","1,201.13","1,244.63","1,255.88","1,200.88","-","-3.34%"
"Nov 18, 2010","1,242.63","1,209.88","1,245.25","1,194.13","-","3.14%"
"Nov 17, 2010","1,204.75","1,221.50","1,232.25","1,175.38","-","-1.30%"
"Nov 16, 2010","1,220.63","1,285.25","1,289.63","1,216.38","-","-5.25%"
"Nov 15, 2010","1,288.25","1,266.75","1,307.13","1,252.50","-","1.51%"
"Nov 12, 2010","1,269.13","1,342.88","1,348.00","1,268.88","-","-5.26%"
"Nov 11, 2010","1,339.63","1,320.50","1,341.88","1,317.88","-","1.53%"
"Nov 10, 2010","1,319.38","1,325.88","1,330.38","1,314.88","-","-0.58%"
"Nov 09, 2010","1,327.13","1,274.88","1,340.13","1,270.25","-","4.15%"
"Nov 08, 2010","1,274.25","1,284.50","1,289.38","1,274.25","-","-0.67%"
"Nov 05, 2010","1,282.88","1,278.25","1,289.75","1,271.88","-","0.27%"
"Nov 04, 2010","1,279.38","1,238.88","1,281.38","1,238.63","-","3.25%"
"Nov 03, 2010","1,239.13","1,234.38","1,243.25","1,222.38","-","0.39%"
"Nov 02, 2010","1,234.25","1,240.63","1,241.88","1,230.63","-","-0.41%"
"Nov 01, 2010","1,239.38","1,241.75","1,246.13","1,228.63","-","-0.18%"
"Oct 31, 2010","1,241.63","1,240.38","1,242.13","1,233.63","-","0.74%"
"Oct 29, 2010","1,232.50","1,236.38","1,237.75","1,225.13","-","-0.30%"
"Oct 28, 2010","1,236.25","1,234.13","1,248.50","1,229.88","-","0.16%"
"Oct 27, 2010","1,234.25","1,238.75","1,238.88","1,211.13","-","-0.35%"
"Oct 26, 2010","1,238.63","1,230.63","1,240.50","1,220.25","-","0.73%"
"Oct 25, 2010","1,229.63","1,217.63","1,234.88","1,217.63","-","0.89%"
"Oct 24, 2010","1,218.75","1,214.25","1,218.75","1,211.13","-","0.65%"
"Oct 22, 2010","1,210.88","1,217.63","1,224.13","1,210.88","-","-0.54%"
"Oct 21, 2010","1,217.50","1,230.00","1,235.13","1,213.13","-","-1.03%"
"Oct 20, 2010","1,230.13","1,187.88","1,230.38","1,185.13","-","3.55%"
"Oct 19, 2010","1,188.00","1,196.25","1,205.88","1,176.75","-","-0.68%"
"Oct 18, 2010","1,196.13","1,193.50","1,198.13","1,186.13","-","0.18%"
"Oct 17, 2010","1,194.00","1,193.00","1,197.38","1,187.00","-","-0.04%"
"Oct 15, 2010","1,194.50","1,207.75","1,214.63","1,194.38","-","-1.09%"
"Oct 14, 2010","1,207.63","1,180.63","1,209.88","1,180.38","-","2.34%"
"Oct 13, 2010","1,180.00","1,176.88","1,194.00","1,172.13","-","0.28%"
"Oct 12, 2010","1,176.75","1,164.75","1,185.13","1,155.63","-","1.00%"
"Oct 11, 2010","1,165.13","1,172.63","1,188.63","1,151.13","-","-0.65%"
"Oct 10, 2010","1,172.75","1,155.25","1,184.25","1,155.25","-","3.28%"
"Oct 08, 2010","1,135.50","1,063.13","1,135.50","1,063.00","-","6.68%"
"Oct 07, 2010","1,064.38","1,062.25","1,074.13","1,061.88","-","0.21%"
"Oct 06, 2010","1,062.13","1,072.88","1,075.13","1,061.13","-","-1.00%"
"Oct 05, 2010","1,072.88","1,052.25","1,077.63","1,049.88","-","1.97%"
"Oct 04, 2010","1,052.13","1,050.75","1,060.88","1,042.13","-","0.06%"
"Oct 03, 2010","1,051.50","1,054.63","1,055.00","1,047.13","-","-0.37%"
"Oct 01, 2010","1,055.38","1,102.63","1,104.88","1,055.38","-","-4.29%"
"Sep 30, 2010","1,102.63","1,097.38","1,109.38","1,082.38","-","0.36%"
"Sep 29, 2010","1,098.63","1,107.38","1,109.88","1,086.13","-","-0.80%"
"Sep 28, 2010","1,107.50","1,126.00","1,135.38","1,106.00","-","-1.65%"
"Sep 27, 2010","1,126.13","1,142.50","1,143.38","1,122.13","-","-1.44%"
"Sep 26, 2010","1,142.63","1,126.50","1,143.38","1,126.50","-","1.68%"
"Sep 24, 2010","1,123.75","1,090.63","1,127.63","1,089.88","-","2.99%"
"Sep 23, 2010","1,091.13","1,089.75","1,098.13","1,079.88","-","0.07%"
"Sep 22, 2010","1,090.38","1,084.75","1,092.63","1,081.88","-","0.53%"
"Sep 21, 2010","1,084.63","1,083.63","1,093.75","1,079.50","-","0.08%"
"Sep 20, 2010","1,083.75","1,081.63","1,099.25","1,081.63","-","0.22%"
"Sep 19, 2010","1,081.38","1,069.13","1,081.88","1,068.63","-","1.07%"
"Sep 17, 2010","1,069.88","1,039.75","1,071.63","1,039.75","-","2.88%"
"Sep 16, 2010","1,039.88","1,044.63","1,046.38","1,033.13","-","-0.48%"
"Sep 15, 2010","1,044.88","1,035.63","1,044.88","1,035.38","-","0.95%"
"Sep 14, 2010","1,035.00","1,032.25","1,042.13","1,025.13","-","0.25%"
"Sep 13, 2010","1,032.38","1,027.63","1,040.50","1,026.88","-","0.45%"
"Sep 12, 2010","1,027.75","1,032.63","1,032.63","1,022.88","-","-0.50%"
"Sep 10, 2010","1,032.88","1,043.63","1,046.88","1,031.13","-","-0.97%"
"Sep 09, 2010","1,043.00","1,052.13","1,052.63","1,034.13","-","-0.81%"
"Sep 08, 2010","1,051.50","1,051.38","1,056.63","1,045.13","-","0.05%"
"Sep 07, 2010","1,051.00","1,034.63","1,053.38","1,028.88","-","1.61%"
"Sep 06, 2010","1,034.38","1,035.75","1,038.13","1,032.63","-","-0.13%"
"Sep 05, 2010","1,035.75","1,035.75","1,035.75","1,035.75","-","0.04%"
"Sep 03, 2010","1,035.38","1,011.50","1,040.88","1,009.13","-","2.35%"
"Sep 02, 2010","1,011.63","1,004.75","1,012.63","1,000.88","-","0.70%"
"Sep 01, 2010","1,004.63","1,009.88","1,017.13","1,004.38","-","-0.59%"
"Aug 31, 2010","1,010.63","1,014.63","1,026.88","1,007.13","-","-0.35%"
"Aug 30, 2010","1,014.13","1,030.50","1,033.88","1,010.88","-","-1.60%"
"Aug 29, 2010","1,030.63","1,027.38","1,033.88","1,027.38","-","0.34%"
"Aug 27, 2010","1,027.13","1,015.25","1,029.38","1,014.13","-","1.16%"
"Aug 26, 2010","1,015.38","1,002.50","1,016.50","1,001.38","-","1.25%"
"Aug 25, 2010","1,002.88","1,000.50","1,005.63","993.63","-","0.20%"
