Date;Price;Open;High;Low;Vol.;Percentage_diff;Price_gold;Price_copper;Price_aluminium;Trend;Residuals;EMA_7d;HT_TRENDLINE;BBANDS_upper_band;BBANDS_middle_band;BBANDS_lower_band;PSAR;ADX_PDM;ATR;Linearregression;Linearintercept;STDDEV;Price_SP500;Price_NASDAQ;Price_DJ;Target;y_test_pred
2017-12-05;11667.1;11624.4;11901.9;11486.1;89690.0;0.37;1263.0;3.0165;2049.75;13156.771428571428;-1490.6101566795696;10925.96994538994;8858.287370749009;11942.12563424339;11262.280000000002;10582.434365756617;10295.772;3808.002181449866;744.9589744859496;11806.108571428564;7944.905714285718;339.9228171216937;2629.57;6762.21;24180.64;1.0;1.0
2014-11-07;341.9;347.7;351.6;340.2;15020.0;-1.67;1291.0;3.053;2059.0;346.88571428571424;10.187775115475452;338.30503015685633;356.99393115942024;353.3710769340148;335.95999999999947;318.5489230659841;320.426;38.24618374741042;15.311812204903802;331.89714285714274;345.56;8.705538467007667;2031.92;4632.53;17573.93;1.0;1.0
2015-06-02;225.7;223.1;227.4;222.3;60810.0;1.17;1194.1;2.655;1738.0;226.7;-1.9387281081416288;230.29703533598743;235.3193137254902;239.7636793232145;229.75999999999948;219.7563206767844;238.97662739051427;9.494948883672455;5.660151077424549;229.17428571428587;240.58285714285697;5.001839661607529;2109.6;5076.52;18011.94;0.0;0.0
2021-03-19;58088.0;57645.0;59448.3;56305.1;83980.0;0.75;1755.4;4.057;2265.5;57311.81428571428;791.3592036869086;57553.55833098742;52921.07666666666;59594.663578436935;57467.7;55340.73642156306;54253.2;13772.671703665905;3763.6989374049977;60035.12285714283;52192.29142857145;1063.4817892184694;3913.1;13215.24;32627.97;1.0;0.0
2020-07-10;9285.1;9239.0;9309.8;9131.9;418470.0;0.53;1801.9;2.953;1688.5;9283.485714285714;16.78777511547559;9260.149675319271;9249.718476190475;9448.480767897185;9309.140000000029;9169.79923210287;9535.983171423122;597.980985012166;244.6801951732141;9306.482857142855;9064.417142857144;69.6703839485784;3185.04;10617.44;26075.3;0.0;1.0
2020-06-21;9296.4;9358.8;9411.2;9288.5;335990.0;-0.67;1747.1;2.7115;1592.0;9423.942857142856;-124.23372810814124;9381.233770605357;9542.28117647059;9483.702246031098;9364.38000000003;9245.057753968962;10144.696284545036;666.9392574798677;314.2422526609453;9270.311428571433;9695.788571428577;59.661123015533896;3097.74;9946.12;25871.46;1.0;1.0
2022-03-17;40914.8;41118.7;41406.0;40557.8;1900000000.0;-0.5;1952.1;4.6955;3384.5;40895.3;42.6435267272914;39985.787226912376;40034.965735294114;42170.47990512645;39756.54000000008;37342.60009487371;43810.27631675247;6774.626766125472;2156.9175418440777;40051.18571428572;38717.91428571429;1206.9699525631827;4411.67;13614.78;34480.76;1.0;0.0
2016-07-10;647.1;651.8;652.0;636.8;29260.0;-0.72;1358.4;2.171;1663.5;653.6428571428571;-3.2337281081418183;655.7841101459841;655.3413947368421;679.6965836243993;653.9399999999998;628.1834163756004;602.313639987387;89.2218018052264;39.58179247883516;659.9542857142854;659.9028571428574;12.87829181219972;2129.9;4956.76;18146.74;0.0;1.0
2017-09-30;4360.6;4172.8;4383.3;4164.3;67490.0;4.5;1282.7;3.039;2099.5;4294.257142857143;66.29401875307336;4114.533151802431;3994.179316666667;4470.906089640384;4166.780000000002;3862.6539103596174;3336.048293375672;874.7957351043078;287.83945255200194;4168.191428571428;3691.8657142857146;152.0630448201915;2519.36;6495.96;22405.09;1.0;0.0
2022-07-09;21587.5;21610.4;21944.1;21338.4;190110.0;-0.11;1742.3;3.532;2436.5;20791.3;796.1511616102201;20978.22475908912;20461.46586956522;22347.846970170773;21119.64000000009;19891.43302982941;18894.86992;3762.477008242469;1275.85109512721;20929.18857142857;19887.89714285714;614.10348508534;3899.38;11635.31;31339.2;0.0;0.0
