Date;Price;Open;High;Low;Vol.;Percentage_diff;Target;Price_gold;Perc_diff_gold;Price_copper;Perc_diff_copper;Price_aluminium;Perc_diff_aluminium;Trend;Residuals
2015-02-05;216.5;226.6;229.9;214.4;40640.0;-4.44;0.0;1262.2;-0.15;2.612;0.0;1881.5;0.4;226.25714285714287;13.386383870141252
2015-02-06;223.0;216.5;226.2;215.6;52520.0;2.97;1.0;1234.1;-2.23;2.603;-0.34;1867.5;-0.74;223.6;14.573489401189725
2015-02-07;227.7;223.0;231.0;222.4;39760.0;2.12;1.0;1234.1;0.0;2.603;0.0;1867.5;0.0;222.49999999999994;5.1511616102158015
2015-02-08;223.7;227.7;230.2;219.5;29050.0;-1.76;0.0;1234.1;0.0;2.603;0.0;1867.5;0.0;221.38571428571427;5.623414749000986
2015-02-09;220.3;223.7;225.0;215.7;91690.0;-1.49;0.0;1241.0;0.56;2.599;-0.15;1872.25;0.25;222.14285714285714;-14.669408380250717
2015-02-10;219.7;220.3;222.2;214.4;86150.0;-0.3;0.0;1231.7;-0.75;2.562;-1.42;1832.75;-2.11;224.0285714285714;-5.26729953671308
2015-02-11;218.8;219.7;223.5;217.3;71730.0;-0.38;0.0;1219.0;-1.03;2.553;-0.35;1818.75;-0.76;228.44285714285715;-37.454884570726755
2015-02-12;221.8;218.8;223.0;217.3;50110.0;1.35;1.0;1220.1;0.09;2.609;2.19;1838.75;1.1;229.81428571428572;15.129241012998413
2015-02-13;236.2;221.8;241.6;220.6;112250.0;6.48;1.0;1226.5;0.52;2.614;0.19;1834.25;-0.24;232.0285714285714;19.344917972618298
2015-02-14;258.6;236.2;261.3;235.4;133800.0;9.51;1.0;1226.5;0.0;2.614;0.0;1834.25;0.0;235.38571428571427;23.165447324501507
2015-02-15;233.3;258.6;264.6;226.6;179140.0;-9.81;0.0;1226.5;0.0;2.614;0.0;1834.25;0.0;237.7285714285714;-1.1194423938561187
2015-02-16;235.8;233.3;240.0;228.0;115470.0;1.1;1.0;1226.5;0.0;2.614;0.0;1834.25;0.0;240.59999999999997;-17.626551237393542
2015-02-17;243.2;235.8;247.2;232.0;116260.0;3.13;1.0;1208.1;-1.92;2.595;-0.73;1817.5;-0.26;241.78571428571425;0.4755576061440817
2015-02-18;235.2;243.2;245.5;231.7;99660.0;-3.29;0.0;1199.8;-0.69;2.639;1.7;1818.75;0.07;239.7571428571428;-32.36917028501244
2015-02-19;241.9;235.2;244.1;234.9;66050.0;2.86;1.0;1207.2;0.62;2.642;0.11;1817.5;-0.07;240.09999999999997;24.94352672728416
2015-02-20;244.5;241.9;247.8;238.8;83590.0;1.07;1.0;1204.4;-0.23;2.611;-1.17;1793.0;-1.35;240.5285714285714;19.14491797261831
2015-02-21;244.4;244.5;247.3;242.6;42950.0;-0.04;0.0;1204.4;0.0;2.611;0.0;1793.0;0.0;239.9142857142857;4.436875895930051
2015-02-22;235.7;244.4;246.5;232.7;75700.0;-3.55;0.0;1204.4;0.0;2.611;0.0;1793.0;0.0;240.2142857142857;-1.205156679570436
2015-02-23;238.8;235.7;240.1;231.3;62670.0;1.31;1.0;1200.2;-0.35;2.639;1.07;1790.75;-0.13;239.44285714285715;-13.469408380250728
2015-02-24;238.9;238.8;240.3;235.5;45030.0;0.03;1.0;1196.8;-0.28;2.712;2.77;1809.0;1.02;240.72857142857143;-2.7672995367130797
