Date;Price;Open;High;Low;Vol.;Porcentage_diff;Target;ADX;ADX_MDI;ADX_MDM;ADX_DX;ADX_PDI;ADX_PDM;Aroondown;Aroonup;Aroon_Oscillator;MACD;MACDSIGNAL;MACDHIST;MOM;ROC;RSI;STOCHRSI_fastk;STOCHRSI_fastd;ULTOSC;WILLR;ADX_ET;ADXR_ET;MACD_ET;ROC_ET;STOCHRSI_fastk_ET;STOCHRSI_fastd_ET
2022-04-08;42275.0;43450.0;43979.0;42113.0;467830000.0;-2.7;0.0;19.79438993499919;24.71707698683986;24.71707698683986;12.047500318580104;19.401849212428843;4887.121659276358;100.0;21.42857142857143;-78.57142857142857;654.5444829848348;1179.767976045414;-525.2234930605791;-5174.0;-0.10904339395983055;37.81901976971632;0.0;2.4286812844320473;35.46107415570453;-97.33815313835031;Mantener_posicion;Mantener_posición;Mantener_posicion;Mantener_posición;Mantener_posición;Mantener_posición
2022-04-09;42767.0;42275.0;42809.0;42129.0;165160000.0;1.16;1.0;19.241040676683543;24.01878883277792;24.01878883277792;12.047500318580093;18.85372285108165;4538.041540756618;92.85714285714286;14.285714285714286;-78.57142857142857;466.4344923179524;1037.1012792999215;-570.6667869819692;-4308.0;-0.09151354221986192;41.34758123894204;16.918857219296164;8.068300357530768;39.425150623612666;-89.25402563259941;Mantener_posicion;Mantener_posición;Mantener_posicion;Mantener_posición;Mantener_posición;Mantener_posición
2022-04-10;42138.0;42760.0;43421.0;41884.0;255830000.0;-1.47;0.0;18.246739955873753;22.473339354321006;22.473339354321006;5.3208305853464966;20.202623661579796;4825.89571641686;100.0;7.142857142857143;-92.85714285714286;263.5627390340087;882.3935712467389;-618.8308322127302;-3387.0;-0.0743986820428336;38.263223715036425;0.0;5.639619073098959;34.86301351557535;-95.9778305621536;Mantener_posicion;Mantener_posición;Mantener_posicion;Mantener_posición;Mantener_posición;Mantener_posición
2022-04-11;39497.0;42144.0;42418.0;39202.0;608380000.0;-6.27;0.0;18.816525310510805;30.187794807755292;30.187794807755292;26.223734920792484;17.64440541464922;4481.188879529941;100.0;0.0;-100.0;-109.0639934708961;684.102058303212;-793.166051774108;-6800.0;-0.14687776745793463;28.385001825474117;0.0;5.639619073098959;25.994328550962827;-96.69467787114846;Mantener_posicion;Mantener_posición;Mantener_posicion;Mantener_posición;Mantener_posición;Mantener_posición
2022-04-12;40078.0;39507.0;40678.0;39265.0;468270000.0;1.47;1.0;19.34561171124521;28.481316827856734;28.481316827856734;26.223734920792484;16.646989422515652;4161.103959563517;92.85714285714286;0.0;-92.85714285714286;-353.4175418041268;476.59813828174424;-830.015680085871;-5733.0;-0.12514461592194015;32.635994390507776;26.20626429821363;8.735421432738113;29.84869627416838;-89.70864661654134;Mantener_posicion;Mantener_posición;Mantener_posicion;Mantener_posición;Mantener_posición;Mantener_posición
2022-04-13;41133.0;40072.0;41515.0;39581.0;406700000.0;2.63;1.0;19.169769842418788;26.2906812798771;26.2906812798771;16.88382554767531;18.69532282580387;4700.882248166123;85.71428571428572;0.0;-85.71428571428572;-456.67553503609815;289.94340361817575;-746.618938654274;-5274.0;-0.11364664813497964;39.840799445987535;71.48292363955295;32.56306264592243;38.47046166960891;-77.07195440512942;Mantener_posicion;Mantener_posición;Mantener_posicion;Mantener_posición;Mantener_posición;Mantener_posición
2022-04-14;39936.0;41133.0;41494.0;39585.0;294290000.0;-2.91;0.0;19.006488107079967;24.3036034483923;24.3036034483923;16.883825547675315;17.282310316004796;4365.1049447256855;78.57142857142857;0.0;-78.57142857142857;-627.8585720692863;106.38300848068332;-734.2415805499696;-6693.0;-0.1435372836646722;35.10721728542748;46.99162023651067;48.226936058092654;35.67990758615815;-91.08465929794728;Mantener_posicion;Mantener_posición;Mantener_posicion;Mantener_posición;Mantener_posición;Mantener_posición
2022-04-15;40560.0;39936.0;40850.0;39781.0;233090000.0;1.56;1.0;18.854869352836776;23.244146993409444;23.244146993409444;16.88382554767531;16.528930050391583;4053.3117343881368;71.42857142857143;14.285714285714286;-57.142857142857146;-705.0434749064589;-55.90228819674513;-649.1411867097138;-4946.0;-0.10868896409264713;39.28553965648957;88.28469088886735;68.9197449216439;38.96887299095982;-83.50540507712863;Mantener_posicion;Mantener_posición;Mantener_posicion;Mantener_posición;Comprar;Mantener_posición
2022-04-16;40382.0;40571.0;40691.0;40003.0;151310000.0;-0.44;0.0;18.71408050961096;22.562445831898284;22.562445831898284;16.8838255476753;16.04417185224891;3763.789467646127;64.28571428571429;7.142857142857143;-57.142857142857146;-771.680723854035;-199.05797532820313;-572.6227485258319;-2791.0;-0.06464688578509717;38.49983856236931;69.23097153831111;68.16909422122994;38.24256150843733;-85.6674359285801;Mantener_posicion;Mantener_posición;Mantener_posicion;Mantener_posición;Vender;Mantener_posición
2022-04-17;39703.0;40382.0;40599.0;39561.0;210010000.0;-1.68;0.0;18.879796156962446;23.473007311204412;23.473007311204412;21.034099572531794;15.314421015368634;3494.9473628142605;57.142857142857146;0.0;-57.142857142857146;-869.2605545240222;-333.09849116736694;-536.1620633566552;-3745.0;-0.0861949917142331;35.49131135501182;0.0;52.50522080905972;38.090627403052984;-93.73671708963622;Mantener_posicion;Mantener_posición;Mantener_posicion;Mantener_posición;Mantener_posición;Mantener_posición
