Date;Price;Open;High;Low;Vol.;Porcentage_diff;Target;Price_gold;Perc_diff_gold;Price_silver;Perc_diff_silver;Price_copper;Perc_diff_copper;Price_aluminium;Perc_diff_aluminium;Price_platinum;Perc_diff_platinum;Price_palladium;Perc_diff_palladium
2015-12-14;442.0;434.7;449.5;428.8;218920.0;1.68;1.0;1063.7;-1.14;13.685;-1.83;2.154;-0.12;1492.5;0.62;847.9;0.63;549.15;0.75
2015-12-15;462.6;442.0;464.2;440.7;107060.0;4.67;1.0;1061.8;-0.18;13.759;0.54;2.104;-2.32;1471.0;-1.44;855.8;0.93;567.4;3.32
2015-12-16;454.0;462.6;465.2;437.4;185220.0;-1.87;0.0;1076.9;1.42;14.233;3.45;2.117;0.62;1486.0;1.02;872.25;1.92;572.35;0.87
2015-12-17;455.5;454.0;458.4;447.3;64580.0;0.34;1.0;1049.7;-2.53;13.688;-3.83;2.09;-1.28;1476.5;-0.64;848.2;-2.76;557.85;-2.53
2015-12-18;463.2;455.5;466.1;453.5;83410.0;1.68;1.0;1065.0;1.46;14.081;2.87;2.1555;3.13;1506.25;2.01;859.65;1.35;559.35;0.27
2015-12-19;461.2;463.2;466.0;452.3;61310.0;-0.43;0.0;1065.0;0.0;14.081;0.0;2.1555;0.0;1506.25;0.0;859.65;0.0;559.35;0.0
2015-12-20;441.8;461.2;462.8;431.1;121530.0;-4.21;0.0;1065.0;0.0;14.081;0.0;2.1555;0.0;1506.25;0.0;859.65;0.0;559.35;0.0
2015-12-21;437.6;441.8;445.5;424.0;121990.0;-0.95;0.0;1080.6;1.46;14.301;1.71;2.1835;1.3;1513.5;0.48;873.25;1.77;553.75;-1.0
2015-12-22;437.0;437.6;443.2;433.3;65790.0;-0.13;0.0;1074.1;-0.6;14.3;-0.01;2.153;-1.4;1508.0;-0.36;873.5;0.03;555.0;0.23
2015-12-23;442.4;437.0;444.8;434.3;63250.0;1.24;1.0;1068.3;-0.54;14.273;-0.19;2.1675;0.67;1537.0;1.92;872.15;-0.15;553.45;-0.28
2015-12-24;453.0;442.4;460.6;441.8;79600.0;2.38;1.0;1076.1;0.73;14.365;0.64;2.165;-0.12;1534.0;-0.2;884.45;1.41;559.3;1.06
2015-12-25;454.0;453.0;457.4;449.5;42390.0;0.24;1.0;1076.1;0.0;14.365;0.0;2.165;0.0;1534.0;0.0;884.45;0.0;559.3;0.0
2015-12-26;415.4;454.0;456.5;400.5;208580.0;-8.52;0.0;1076.1;0.0;14.365;0.0;2.165;0.0;1534.0;0.0;884.45;0.0;559.3;0.0
2015-12-27;422.4;415.4;425.5;406.1;67580.0;1.69;1.0;1076.1;0.0;14.365;0.0;2.165;0.0;1534.0;0.0;884.45;0.0;559.3;0.0
